Question number, Melody number, Instrument, Correct answer, User answer 
0, 27, 2, 3, 1, 3
0, 27, 2, 3, 2, 2
1, 44, 2, 2, 0, 1
2, 63, 3, 3, 0, 1
3, 19, 3, 1, 0, 1
4, 21, 3, 2, 1, 3
5, 34, 2, 1, 0, 1
6, 58, 1, 3, 0, 2
7, 31, 1, 3, 2, 1
8, 61, 3, 1, 0, 3
9, 22, 1, 1, 2, 2
10, 2, 4, 3, 2, 3
11, 43, 4, 1, 0, 3
12, 13, 3, 3, 1, 3
13, 29, 1, 2, 2, 1
14, 49, 1, 2, 1, 1
15, 15, 3, 3, 0, 1
16, 16, 2, 2, 2, 3
17, 37, 2, 1, 0, 2
18, 12, 2, 2, 2, 1
19, 59, 2, 3, 1, 2
20, 9, 2, 1, 1, 2
21, 71, 4, 1, 2, 3
22, 6, 1, 3, 0, 3
23, 69, 1, 1, 1, 3
24, 55, 1, 3, 0, 2
25, 18, 4, 3, 0, 3
26, 60, 1, 3, 2, 1
27, 62, 2, 3, 1, 2
28, 56, 2, 1, 1, 1
29, 0, 4, 3, 1, 2
30, 53, 1, 1, 1, 3
31, 10, 2, 2, 1, 2
32, 20, 4, 2, 0, 3
33, 11, 1, 1, 2, 1
34, 45, 3, 2, 0, 1
35, 38, 4, 2, 0, 3
36, 40, 2, 1, 2, 3
37, 66, 4, 1, 0, 2
38, 68, 1, 3, 0, 3
39, 42, 2, 2, 1, 1
40, 14, 1, 1, 0, 1
41, 24, 4, 1, 1, 1
42, 64, 3, 1, 1, 2
43, 5, 3, 3, 0, 1
44, 1, 4, 1, 2, 1
45, 57, 4, 3, 0, 2
46, 30, 4, 2, 0, 1
47, 51, 4, 3, 1, 2
48, 35, 4, 2, 2, 2
49, 7, 3, 2, 0, 1
50, 52, 3, 2, 2, 3
51, 67, 2, 1, 2, 3
52, 23, 2, 2, 2, 2
53, 48, 3, 3, 2, 2
54, 47, 2, 3, 1, 3
55, 33, 3, 1, 1, 1
56, 70, 3, 3, 0, 1
57, 36, 1, 3, 2, 2
58, 4, 4, 2, 2, 3
59, 26, 1, 2, 2, 3
60, 8, 3, 1, 0, 2
61, 25, 2, 2, 2, 1
62, 17, 3, 1, 1, 2
63, 65, 4, 2, 0, 2
64, 3, 1, 2, 2, 3
65, 28, 4, 3, 1, 2
66, 39, 3, 1, 1, 2
67, 46, 1, 2, 1, 1
68, 50, 4, 2, 1, 3
69, 32, 1, 3, 0, 2
70, 54, 2, 2, 2, 1
End
