Question number, Melody number, Instrument, Correct answer, User answer 
0, 20, 2, 2, 0, 1
0, 20, 2, 2, 0, 3
1, 66, 3, 1, 2, 1
2, 41, 2, 2, 0, 1
3, 24, 4, 1, 1, 3
4, 55, 2, 2, 1, 2
5, 27, 2, 3, 0, 1
6, 26, 1, 1, 1, 1
7, 17, 3, 2, 0, 1
8, 49, 1, 3, 1, 1
9, 37, 3, 1, 0, 1
10, 36, 3, 2, 1, 1
11, 46, 2, 3, 2, 2
12, 16, 2, 1, 0, 1
13, 40, 2, 3, 2, 1
14, 64, 3, 2, 1, 1
15, 15, 4, 1, 2, 1
16, 71, 1, 2, 0, 3
17, 33, 4, 3, 0, 1
18, 0, 2, 3, 2, 3
19, 67, 3, 2, 0, 3
20, 5, 1, 3, 2, 3
21, 9, 4, 2, 1, 2
22, 51, 2, 2, 2, 2
23, 50, 2, 1, 0, 2
24, 47, 2, 2, 0, 2
25, 4, 1, 3, 1, 2
26, 62, 1, 2, 2, 1
27, 23, 3, 3, 2, 3
28, 61, 1, 2, 0, 3
29, 25, 2, 1, 0, 3
30, 69, 4, 3, 2, 1
31, 57, 4, 1, 1, 1
32, 39, 3, 1, 0, 2
33, 48, 4, 3, 1, 3
34, 58, 3, 2, 0, 3
35, 60, 3, 1, 0, 3
36, 8, 2, 3, 1, 1
37, 31, 4, 3, 0, 2
38, 44, 1, 1, 0, 2
39, 3, 2, 2, 2, 3
40, 54, 1, 3, 1, 3
41, 12, 3, 1, 1, 3
42, 53, 1, 1, 0, 2
43, 32, 2, 2, 0, 3
44, 52, 1, 3, 0, 3
45, 11, 4, 3, 2, 3
46, 10, 4, 2, 0, 3
47, 56, 1, 1, 2, 3
48, 13, 2, 1, 0, 3
49, 42, 4, 2, 2, 3
50, 22, 4, 2, 2, 2
51, 68, 1, 3, 0, 1
52, 18, 2, 1, 2, 3
53, 28, 3, 1, 1, 2
54, 35, 4, 1, 0, 2
55, 19, 4, 1, 2, 3
56, 65, 1, 3, 2, 3
57, 59, 2, 3, 0, 3
58, 70, 3, 2, 0, 3
59, 38, 4, 2, 0, 3
60, 2, 3, 3, 1, 2
61, 1, 1, 1, 0, 1
62, 7, 4, 3, 1, 3
63, 34, 1, 3, 2, 2
64, 14, 3, 2, 0, 3
65, 29, 3, 3, 1, 2
66, 6, 4, 1, 1, 1
67, 43, 4, 2, 2, 1
68, 63, 3, 2, 1, 2
69, 45, 1, 1, 1, 3
70, 21, 3, 1, 1, 2
End
