Question number, Melody number, Instrument, Correct answer, User answer 
0, 51, 4, 3, 0, 3
0, 51, 4, 3, 2, 2
1, 63, 3, 1, 0, 3
2, 8, 4, 2, 1, 3
3, 7, 4, 1, 2, 1
4, 18, 3, 3, 1, 1
5, 62, 2, 1, 1, 2
6, 64, 2, 2, 2, 3
7, 66, 2, 1, 2, 1
8, 40, 1, 1, 2, 2
9, 28, 1, 3, 1, 3
10, 21, 2, 3, 1, 2
11, 59, 4, 3, 1, 3
12, 15, 3, 3, 2, 1
13, 10, 1, 2, 2, 2
14, 60, 3, 1, 1, 3
15, 2, 1, 1, 2, 2
16, 12, 2, 3, 0, 3
17, 34, 4, 3, 0, 1
18, 54, 3, 2, 2, 3
19, 55, 4, 2, 1, 1
20, 48, 4, 1, 0, 1
21, 35, 2, 2, 1, 3
22, 45, 4, 1, 0, 2
23, 6, 2, 1, 1, 3
24, 58, 1, 3, 1, 2
25, 25, 3, 3, 1, 1
26, 24, 4, 1, 1, 1
27, 9, 4, 1, 1, 2
28, 38, 4, 3, 0, 1
29, 69, 3, 2, 1, 3
30, 3, 1, 1, 0, 2
31, 44, 4, 1, 1, 2
32, 37, 2, 2, 1, 3
33, 16, 2, 1, 0, 2
34, 14, 1, 1, 0, 3
35, 27, 1, 3, 0, 2
36, 0, 2, 2, 2, 1
37, 39, 4, 2, 1, 3
38, 50, 1, 3, 1, 2
39, 52, 3, 1, 0, 1
40, 32, 1, 2, 2, 3
41, 53, 2, 3, 0, 2
42, 67, 1, 3, 0, 3
43, 19, 1, 2, 1, 3
44, 46, 3, 1, 1, 2
45, 49, 2, 2, 0, 2
46, 17, 1, 2, 2, 2
47, 30, 4, 1, 0, 1
48, 65, 4, 1, 1, 2
49, 22, 4, 2, 1, 3
50, 71, 2, 3, 1, 1
51, 11, 3, 2, 0, 3
52, 56, 1, 2, 1, 1
53, 20, 1, 2, 1, 3
54, 5, 1, 3, 2, 3
55, 47, 3, 2, 0, 2
56, 36, 2, 1, 0, 3
57, 41, 4, 2, 0, 1
58, 4, 1, 2, 0, 1
59, 42, 2, 3, 2, 1
60, 26, 3, 1, 2, 2
61, 57, 3, 3, 2, 3
62, 43, 3, 2, 0, 1
63, 70, 2, 3, 1, 2
64, 31, 3, 1, 1, 2
65, 61, 3, 3, 0, 2
66, 23, 2, 1, 2, 2
67, 33, 4, 3, 2, 2
68, 68, 3, 2, 1, 3
69, 1, 2, 3, 2, 3
70, 13, 1, 2, 1, 2
End
