Question number, Melody number, Instrument, Correct answer, User answer 
0, 69, 3, 2, 2, 1
0, 69, 3, 2, 0, 1
1, 38, 3, 1, 0, 1
2, 43, 4, 1, 1, 1
3, 36, 4, 2, 0, 2
4, 20, 2, 3, 2, 2
5, 12, 4, 1, 1, 1
6, 9, 1, 2, 1, 2
7, 45, 3, 3, 0, 2
8, 37, 1, 1, 2, 3
9, 16, 3, 1, 1, 2
10, 24, 2, 3, 2, 3
11, 33, 4, 2, 1, 1
12, 25, 4, 1, 2, 1
13, 31, 2, 1, 1, 2
14, 17, 3, 3, 2, 1
15, 2, 2, 2, 0, 1
16, 14, 2, 2, 0, 3
17, 5, 3, 2, 1, 3
18, 61, 4, 1, 1, 2
19, 70, 3, 3, 2, 1
20, 58, 4, 3, 2, 1
21, 71, 4, 3, 1, 2
22, 59, 2, 3, 1, 1
23, 62, 1, 3, 1, 1
24, 65, 1, 2, 2, 3
25, 67, 3, 1, 1, 1
26, 52, 3, 3, 2, 3
27, 6, 4, 3, 0, 1
28, 39, 1, 1, 0, 1
29, 60, 1, 1, 1, 1
30, 22, 2, 1, 2, 1
31, 42, 1, 3, 0, 1
32, 10, 3, 2, 2, 3
33, 0, 2, 1, 0, 1
34, 8, 4, 1, 0, 2
35, 4, 3, 2, 1, 2
36, 11, 3, 2, 2, 2
37, 27, 1, 2, 2, 1
38, 26, 1, 2, 2, 2
39, 54, 1, 3, 1, 2
40, 28, 4, 1, 0, 2
41, 3, 4, 2, 0, 3
42, 41, 4, 1, 1, 2
43, 18, 1, 3, 2, 2
44, 46, 2, 1, 0, 3
45, 29, 4, 1, 2, 1
46, 68, 3, 3, 0, 1
47, 51, 2, 2, 2, 2
48, 40, 2, 2, 2, 3
49, 32, 3, 2, 0, 1
50, 15, 2, 3, 2, 1
51, 19, 3, 3, 1, 3
52, 23, 4, 1, 2, 2
53, 56, 3, 1, 2, 2
54, 53, 2, 2, 0, 2
55, 50, 2, 1, 0, 2
56, 49, 1, 3, 2, 1
57, 55, 2, 2, 0, 3
58, 64, 4, 1, 0, 2
59, 35, 3, 2, 0, 3
60, 30, 1, 2, 0, 3
61, 13, 1, 3, 1, 1
62, 7, 3, 2, 1, 2
63, 1, 2, 3, 2, 3
64, 34, 4, 1, 2, 1
65, 21, 1, 3, 0, 1
66, 47, 2, 2, 2, 3
67, 48, 1, 2, 1, 3
68, 63, 1, 3, 0, 1
69, 44, 1, 3, 0, 2
70, 66, 4, 1, 2, 3
End
