Question number, Melody number, Instrument, Correct answer, User answer 
0, 71, 1, 3, 1, 3
0, 71, 1, 3, 0, 1
1, 69, 1, 1, 2, 3
2, 47, 3, 3, 2, 3
3, 51, 1, 1, 0, 3
4, 49, 1, 3, 2, 3
5, 67, 1, 3, 0, 1
6, 63, 1, 1, 2, 3
7, 60, 2, 2, 2, 3
8, 30, 2, 1, 1, 3
9, 27, 1, 1, 1, 1
10, 70, 4, 3, 1, 1
11, 21, 1, 3, 0, 3
12, 7, 3, 1, 2, 2
13, 40, 2, 2, 1, 2
14, 68, 3, 3, 1, 2
15, 23, 1, 3, 2, 3
16, 13, 3, 1, 1, 3
17, 0, 3, 3, 0, 2
18, 2, 1, 3, 0, 1
19, 15, 4, 3, 2, 1
20, 37, 4, 1, 2, 3
21, 38, 4, 2, 1, 2
22, 43, 2, 2, 2, 3
23, 32, 2, 2, 0, 1
24, 18, 3, 1, 2, 1
25, 11, 4, 2, 2, 3
26, 31, 1, 2, 2, 3
27, 36, 2, 2, 1, 2
28, 28, 4, 1, 1, 3
29, 25, 3, 3, 0, 2
30, 42, 2, 1, 2, 3
31, 14, 2, 2, 1, 2
32, 48, 1, 2, 0, 3
33, 55, 3, 1, 2, 3
34, 12, 3, 2, 0, 2
35, 3, 2, 2, 2, 3
36, 45, 2, 1, 1, 2
37, 9, 3, 2, 2, 1
38, 52, 3, 3, 1, 1
39, 17, 1, 3, 0, 3
40, 54, 4, 2, 2, 3
41, 59, 3, 2, 0, 2
42, 34, 2, 1, 0, 2
43, 4, 4, 1, 2, 3
44, 10, 2, 1, 2, 2
45, 26, 4, 3, 2, 3
46, 24, 1, 2, 0, 3
47, 8, 2, 1, 2, 3
48, 46, 4, 1, 2, 3
49, 6, 2, 3, 2, 3
50, 44, 3, 2, 0, 2
51, 33, 4, 1, 2, 3
52, 66, 2, 2, 1, 2
53, 53, 3, 3, 0, 2
54, 35, 1, 1, 1, 2
55, 16, 1, 1, 0, 1
56, 62, 1, 3, 1, 3
57, 41, 2, 2, 2, 3
58, 61, 3, 3, 0, 1
59, 56, 4, 2, 0, 3
60, 1, 3, 3, 0, 2
61, 29, 2, 3, 2, 3
62, 64, 4, 2, 0, 2
63, 50, 3, 2, 1, 1
64, 19, 3, 1, 1, 2
65, 57, 4, 3, 1, 2
66, 22, 4, 3, 0, 2
67, 65, 4, 1, 1, 1
68, 58, 4, 3, 1, 2
69, 39, 2, 2, 2, 2
70, 5, 4, 2, 2, 3
End
