Question number, Melody number, Instrument, Correct answer, User answer 
0, 47, 1, 3, 1, 1
0, 47, 1, 3, 1, 1
1, 38, 3, 1, 2, 2
2, 30, 2, 2, 2, 3
3, 57, 1, 2, 1, 2
4, 19, 3, 1, 0, 1
5, 66, 2, 2, 0, 3
6, 63, 2, 3, 2, 3
7, 48, 3, 2, 2, 3
8, 69, 3, 3, 2, 3
9, 23, 1, 2, 0, 3
10, 29, 4, 1, 1, 1
11, 49, 2, 1, 2, 1
12, 70, 4, 1, 0, 1
13, 17, 4, 1, 1, 3
14, 0, 4, 1, 2, 1
15, 54, 1, 1, 2, 3
16, 58, 4, 3, 0, 1
17, 46, 3, 2, 0, 3
18, 53, 4, 3, 2, 3
19, 6, 4, 3, 2, 2
20, 27, 4, 1, 0, 1
21, 24, 2, 2, 0, 3
22, 50, 1, 2, 0, 1
23, 5, 1, 2, 2, 3
24, 18, 1, 1, 0, 3
25, 41, 1, 1, 2, 3
26, 37, 1, 2, 0, 1
27, 42, 1, 3, 1, 2
28, 13, 3, 1, 0, 2
29, 16, 4, 3, 2, 3
30, 68, 1, 3, 2, 3
31, 59, 4, 2, 1, 2
32, 31, 3, 2, 1, 2
33, 56, 2, 1, 0, 1
34, 39, 3, 3, 1, 2
35, 8, 1, 2, 2, 3
36, 10, 3, 3, 0, 1
37, 61, 4, 2, 1, 3
38, 71, 4, 3, 0, 1
39, 9, 2, 1, 2, 3
40, 60, 1, 3, 0, 3
41, 62, 3, 1, 2, 3
42, 7, 2, 2, 1, 1
43, 22, 2, 1, 2, 3
44, 55, 3, 3, 0, 1
45, 2, 4, 2, 1, 2
46, 64, 1, 2, 2, 3
47, 25, 3, 3, 0, 1
48, 67, 3, 2, 2, 3
49, 14, 2, 1, 0, 1
50, 65, 2, 2, 0, 1
51, 43, 2, 3, 2, 1
52, 26, 3, 2, 2, 3
53, 51, 3, 1, 2, 3
54, 11, 2, 1, 2, 3
55, 52, 1, 3, 1, 2
56, 4, 1, 3, 2, 3
57, 12, 1, 1, 2, 3
58, 36, 3, 3, 0, 1
59, 32, 3, 1, 0, 2
60, 15, 4, 2, 1, 2
61, 44, 3, 3, 0, 1
62, 20, 1, 3, 0, 1
63, 40, 2, 2, 1, 1
64, 33, 4, 2, 0, 1
65, 34, 2, 2, 2, 3
66, 21, 2, 1, 1, 1
67, 28, 4, 3, 0, 3
68, 35, 4, 3, 1, 2
69, 45, 2, 3, 1, 3
70, 1, 2, 1, 2, 3
End
