Question number, Melody number, Instrument, Correct answer, User answer 
0, 57, 3, 1, 1, 2
0, 57, 3, 1, 0, 2
1, 43, 3, 3, 1, 2
2, 58, 2, 1, 0, 1
3, 11, 4, 1, 0, 1
4, 52, 4, 1, 1, 2
5, 66, 1, 3, 1, 2
6, 47, 1, 3, 0, 1
7, 64, 4, 2, 1, 3
8, 40, 2, 1, 0, 3
9, 61, 3, 3, 2, 3
10, 2, 3, 1, 0, 1
11, 30, 4, 1, 1, 2
12, 26, 1, 2, 2, 3
13, 10, 1, 1, 0, 1
14, 34, 4, 3, 0, 1
15, 27, 3, 1, 1, 1
16, 70, 2, 3, 1, 3
17, 68, 2, 1, 1, 1
18, 48, 4, 2, 1, 1
19, 55, 2, 3, 0, 3
20, 41, 4, 3, 2, 1
21, 44, 3, 3, 2, 2
22, 53, 4, 2, 1, 1
23, 39, 3, 2, 2, 3
24, 35, 2, 2, 2, 2
25, 7, 3, 2, 1, 3
26, 21, 3, 2, 1, 2
27, 45, 4, 2, 2, 3
28, 17, 1, 2, 2, 2
29, 4, 3, 1, 2, 1
30, 12, 1, 2, 1, 1
31, 0, 1, 1, 2, 3
32, 65, 2, 3, 2, 2
33, 49, 3, 3, 1, 1
34, 9, 1, 1, 0, 3
35, 60, 3, 3, 0, 2
36, 19, 2, 3, 1, 2
37, 8, 4, 2, 2, 1
38, 46, 4, 2, 0, 2
39, 24, 2, 2, 0, 1
40, 28, 2, 3, 0, 1
41, 14, 4, 3, 2, 3
42, 63, 4, 1, 0, 1
43, 54, 2, 2, 0, 1
44, 62, 1, 3, 2, 1
45, 38, 1, 1, 1, 2
46, 23, 1, 3, 0, 2
47, 25, 2, 2, 1, 1
48, 56, 2, 2, 1, 3
49, 29, 1, 2, 2, 1
50, 33, 1, 1, 1, 2
51, 20, 1, 2, 1, 2
52, 32, 3, 3, 0, 1
53, 5, 4, 3, 2, 2
54, 71, 1, 3, 0, 1
55, 22, 3, 1, 2, 3
56, 3, 2, 1, 0, 2
57, 18, 4, 3, 2, 3
58, 15, 4, 1, 2, 3
59, 50, 1, 2, 0, 3
60, 36, 2, 3, 1, 1
61, 1, 3, 1, 2, 3
62, 51, 2, 2, 0, 1
63, 69, 1, 3, 0, 2
64, 31, 4, 2, 1, 2
65, 37, 2, 1, 2, 3
66, 6, 1, 1, 2, 3
67, 67, 2, 2, 2, 3
68, 59, 4, 3, 1, 2
69, 13, 3, 1, 1, 3
70, 16, 3, 1, 0, 2
End
