Question number, Melody number, Instrument, Correct answer, User answer 
0, 23, 2, 3, 2, 1
0, 23, 2, 3, 1, 2
1, 26, 2, 2, 2, 3
2, 69, 1, 2, 1, 3
3, 68, 1, 1, 0, 3
4, 49, 2, 2, 1, 1
5, 56, 3, 1, 2, 2
6, 35, 1, 2, 2, 2
7, 50, 3, 3, 0, 3
8, 32, 3, 1, 0, 2
9, 9, 1, 3, 0, 2
10, 64, 2, 1, 0, 3
11, 36, 1, 2, 0, 2
12, 16, 4, 2, 1, 2
13, 2, 3, 1, 2, 2
14, 59, 3, 3, 1, 1
15, 5, 1, 3, 2, 3
16, 39, 3, 3, 1, 3
17, 60, 4, 3, 2, 3
18, 57, 3, 3, 2, 2
19, 43, 4, 2, 2, 3
20, 37, 1, 1, 0, 1
21, 70, 1, 3, 2, 1
22, 40, 2, 1, 1, 3
23, 6, 4, 3, 0, 3
24, 45, 4, 1, 2, 1
25, 46, 1, 3, 1, 3
26, 24, 3, 2, 1, 3
27, 14, 1, 1, 0, 2
28, 61, 2, 2, 1, 1
29, 13, 1, 2, 2, 3
30, 10, 4, 2, 1, 3
31, 31, 3, 3, 2, 2
32, 3, 4, 2, 2, 1
33, 29, 4, 3, 0, 1
34, 44, 3, 3, 0, 2
35, 53, 4, 1, 2, 2
36, 11, 1, 1, 1, 2
37, 19, 3, 3, 1, 2
38, 47, 4, 3, 2, 1
39, 38, 2, 3, 1, 1
40, 54, 4, 3, 0, 1
41, 25, 3, 1, 2, 1
42, 33, 4, 1, 0, 3
43, 22, 4, 2, 0, 3
44, 52, 2, 2, 1, 1
45, 62, 3, 2, 2, 1
46, 63, 3, 2, 0, 1
47, 21, 3, 1, 2, 1
48, 34, 2, 3, 1, 1
49, 1, 4, 3, 2, 3
50, 17, 2, 1, 0, 1
51, 42, 3, 2, 0, 3
52, 48, 1, 3, 2, 2
53, 71, 4, 2, 0, 2
54, 12, 4, 1, 0, 2
55, 27, 1, 3, 1, 2
56, 18, 2, 1, 1, 3
57, 15, 2, 3, 0, 2
58, 20, 1, 2, 2, 1
59, 8, 1, 1, 0, 1
60, 30, 3, 2, 1, 3
61, 65, 2, 2, 2, 1
62, 28, 2, 3, 2, 1
63, 7, 4, 1, 1, 3
64, 41, 2, 2, 2, 3
65, 58, 1, 1, 0, 3
66, 55, 1, 2, 0, 3
67, 51, 2, 1, 1, 3
68, 66, 4, 1, 1, 3
69, 0, 2, 2, 1, 3
70, 67, 2, 1, 0, 2
End
