Question number, Melody number, Instrument, Correct answer, User answer 
0, 33, 2, 2, 1, 2
0, 33, 2, 2, 2, 1
1, 25, 3, 2, 1, 3
2, 34, 2, 1, 2, 2
3, 64, 2, 1, 2, 2
4, 3, 1, 1, 1, 1
5, 63, 3, 3, 0, 3
6, 28, 3, 3, 1, 2
7, 17, 4, 2, 1, 3
8, 19, 4, 3, 1, 3
9, 41, 3, 3, 2, 2
10, 70, 1, 3, 1, 2
11, 44, 2, 3, 2, 2
12, 54, 4, 3, 2, 3
13, 2, 2, 2, 2, 2
14, 26, 4, 2, 2, 2
15, 40, 1, 1, 1, 2
16, 6, 3, 1, 2, 3
17, 9, 1, 3, 0, 2
18, 35, 4, 2, 0, 3
19, 18, 2, 1, 1, 3
20, 50, 1, 2, 2, 2
21, 37, 4, 1, 2, 3
22, 30, 4, 2, 1, 2
23, 8, 1, 1, 2, 1
24, 46, 2, 1, 0, 3
25, 1, 3, 2, 2, 2
26, 11, 1, 3, 2, 2
27, 53, 1, 2, 2, 3
28, 5, 4, 3, 2, 3
29, 0, 4, 2, 2, 2
30, 65, 3, 3, 2, 1
31, 12, 3, 3, 2, 1
32, 16, 4, 1, 2, 2
33, 32, 2, 1, 0, 3
34, 36, 2, 3, 1, 2
35, 38, 4, 1, 0, 2
36, 13, 1, 2, 0, 2
37, 27, 2, 1, 2, 3
38, 66, 1, 3, 1, 2
39, 49, 1, 1, 1, 3
40, 43, 1, 2, 0, 2
41, 4, 4, 2, 0, 3
42, 69, 3, 1, 0, 2
43, 57, 3, 1, 1, 3
44, 31, 4, 2, 1, 3
45, 39, 4, 1, 2, 3
46, 67, 1, 1, 0, 2
47, 60, 3, 3, 1, 3
48, 68, 1, 2, 2, 2
49, 20, 2, 3, 1, 3
50, 21, 3, 3, 2, 3
51, 62, 2, 1, 2, 2
52, 52, 4, 2, 0, 3
53, 59, 3, 3, 2, 2
54, 56, 1, 3, 1, 1
55, 7, 1, 2, 1, 2
56, 71, 3, 1, 2, 3
57, 14, 2, 3, 1, 2
58, 24, 4, 2, 2, 1
59, 42, 3, 2, 1, 2
60, 45, 3, 3, 1, 3
61, 23, 3, 1, 2, 3
62, 55, 2, 2, 0, 1
63, 51, 2, 3, 0, 3
64, 58, 1, 3, 2, 3
65, 15, 4, 3, 0, 2
66, 48, 4, 1, 2, 3
67, 47, 2, 2, 0, 2
68, 10, 2, 1, 2, 3
69, 61, 1, 2, 0, 2
70, 29, 3, 2, 0, 2
End
