Question number, Melody number, Instrument, Correct answer, User answer 
0, 37, 1, 2, 1, 2
0, 37, 1, 2, 2, 3
1, 20, 3, 3, 0, 2
2, 35, 4, 3, 0, 3
3, 24, 3, 1, 1, 1
4, 38, 2, 1, 2, 3
5, 50, 1, 2, 1, 1
6, 65, 1, 2, 2, 1
7, 31, 4, 3, 0, 1
8, 52, 1, 2, 2, 1
9, 25, 2, 3, 2, 1
10, 34, 1, 1, 2, 2
11, 55, 3, 3, 2, 3
12, 11, 3, 3, 0, 3
13, 14, 3, 2, 0, 2
14, 49, 3, 2, 1, 1
15, 22, 2, 2, 2, 1
16, 32, 4, 1, 1, 2
17, 47, 4, 3, 2, 1
18, 62, 3, 1, 2, 3
19, 15, 1, 2, 0, 1
20, 8, 2, 1, 1, 1
21, 41, 2, 1, 1, 2
22, 1, 2, 2, 2, 3
23, 43, 1, 3, 1, 3
24, 12, 2, 2, 1, 3
25, 42, 4, 1, 1, 2
26, 19, 2, 3, 0, 3
27, 53, 4, 2, 0, 3
28, 44, 3, 3, 1, 2
29, 33, 3, 3, 2, 3
30, 70, 4, 1, 2, 3
31, 58, 2, 1, 2, 2
32, 23, 1, 3, 1, 1
33, 54, 1, 2, 2, 2
34, 2, 2, 3, 0, 1
35, 69, 1, 1, 2, 1
36, 57, 2, 2, 2, 2
37, 4, 4, 3, 1, 1
38, 56, 2, 1, 0, 2
39, 29, 4, 3, 1, 2
40, 48, 2, 2, 2, 1
41, 21, 1, 2, 1, 1
42, 9, 3, 1, 2, 2
43, 40, 2, 1, 2, 1
44, 63, 3, 1, 0, 2
45, 66, 4, 1, 1, 2
46, 64, 3, 1, 0, 3
47, 60, 2, 3, 1, 1
48, 18, 4, 1, 0, 2
49, 68, 3, 2, 0, 2
50, 27, 1, 3, 0, 2
51, 39, 2, 3, 1, 3
52, 0, 1, 3, 0, 1
53, 7, 1, 1, 1, 1
54, 67, 2, 2, 1, 1
55, 30, 1, 3, 0, 3
56, 71, 2, 2, 1, 1
57, 45, 1, 3, 0, 2
58, 13, 1, 2, 0, 3
59, 28, 4, 2, 2, 1
60, 5, 4, 3, 2, 1
61, 16, 4, 1, 0, 3
62, 36, 4, 3, 2, 2
63, 26, 3, 3, 0, 3
64, 59, 3, 1, 1, 1
65, 61, 3, 1, 1, 2
66, 10, 4, 2, 0, 1
67, 6, 4, 1, 2, 1
68, 51, 3, 2, 0, 1
69, 17, 4, 2, 1, 1
70, 3, 1, 1, 0, 2
End
