Question number, Melody number, Instrument, Correct answer, User answer 
0, 17, 1, 1, 2, 1
0, 17, 1, 1, 2, 3
1, 15, 3, 2, 1, 2
2, 45, 2, 3, 1, 3
3, 68, 1, 1, 2, 1
4, 65, 3, 3, 0, 1
5, 49, 1, 2, 1, 2
6, 57, 4, 1, 1, 1
7, 55, 3, 3, 1, 2
8, 33, 1, 2, 1, 1
9, 24, 2, 1, 2, 1
10, 14, 4, 2, 0, 2
11, 59, 1, 2, 0, 2
12, 71, 1, 3, 1, 2
13, 11, 2, 2, 2, 1
14, 64, 2, 1, 1, 2
15, 5, 3, 2, 1, 1
16, 22, 2, 3, 1, 1
17, 18, 4, 2, 1, 3
18, 27, 1, 1, 2, 3
19, 67, 2, 2, 0, 3
20, 61, 1, 1, 2, 1
21, 56, 4, 2, 0, 1
22, 43, 2, 1, 0, 1
23, 13, 3, 1, 0, 1
24, 7, 1, 1, 1, 2
25, 60, 2, 2, 1, 1
26, 63, 3, 2, 1, 2
27, 66, 4, 1, 0, 3
28, 53, 3, 3, 2, 1
29, 39, 2, 1, 0, 3
30, 0, 4, 1, 1, 1
31, 16, 1, 3, 0, 1
32, 6, 4, 3, 1, 2
33, 40, 4, 2, 1, 2
34, 44, 1, 1, 1, 2
35, 42, 3, 3, 1, 1
36, 30, 3, 1, 1, 1
37, 29, 4, 2, 1, 2
38, 37, 1, 3, 0, 1
39, 23, 1, 1, 1, 2
40, 31, 3, 2, 0, 1
41, 36, 1, 3, 2, 3
42, 3, 3, 2, 0, 1
43, 58, 3, 2, 1, 2
44, 21, 4, 2, 0, 1
45, 34, 1, 3, 2, 1
46, 38, 3, 3, 1, 1
47, 25, 1, 1, 1, 3
48, 35, 4, 3, 1, 2
49, 48, 4, 3, 1, 2
50, 2, 2, 3, 2, 3
51, 46, 3, 2, 0, 1
52, 19, 2, 2, 0, 1
53, 8, 3, 2, 0, 1
54, 10, 2, 3, 2, 1
55, 41, 4, 3, 2, 1
56, 32, 4, 3, 2, 1
57, 52, 4, 2, 1, 2
58, 47, 2, 3, 2, 3
59, 9, 1, 1, 2, 2
60, 4, 3, 1, 0, 2
61, 20, 4, 3, 0, 2
62, 1, 2, 2, 1, 2
63, 28, 2, 3, 1, 1
64, 69, 3, 3, 0, 1
65, 12, 4, 1, 2, 2
66, 51, 1, 1, 2, 1
67, 62, 4, 3, 0, 1
68, 70, 2, 2, 2, 3
69, 54, 2, 1, 1, 2
70, 26, 2, 1, 1, 1
End
