Question number, Melody number, Instrument, Correct answer, User answer 
0, 29, 1, 2, 0, 1
0, 29, 1, 2, 0, 1
1, 8, 4, 1, 2, 2
2, 31, 2, 1, 1, 2
3, 7, 4, 1, 2, 1
4, 10, 1, 1, 1, 1
5, 22, 3, 3, 1, 3
6, 27, 3, 1, 0, 3
7, 33, 1, 3, 1, 2
8, 11, 2, 2, 1, 2
9, 69, 2, 3, 0, 1
10, 56, 2, 1, 0, 1
11, 32, 3, 3, 1, 1
12, 58, 3, 1, 0, 3
13, 42, 2, 2, 0, 2
14, 35, 4, 2, 0, 2
15, 12, 2, 2, 0, 3
16, 51, 3, 1, 0, 3
17, 70, 4, 2, 1, 1
18, 6, 4, 3, 1, 3
19, 1, 2, 1, 0, 1
20, 38, 2, 1, 1, 1
21, 28, 2, 3, 1, 2
22, 16, 3, 1, 2, 3
23, 52, 2, 1, 0, 2
24, 36, 2, 1, 1, 2
25, 60, 2, 2, 2, 2
26, 34, 1, 3, 1, 1
27, 62, 4, 1, 2, 3
28, 50, 3, 3, 1, 1
29, 2, 1, 3, 2, 1
30, 23, 3, 1, 2, 3
31, 5, 4, 2, 0, 3
32, 25, 4, 2, 2, 1
33, 71, 2, 2, 0, 3
34, 57, 4, 3, 0, 2
35, 24, 1, 2, 1, 3
36, 64, 4, 1, 0, 3
37, 26, 4, 3, 1, 1
38, 0, 3, 2, 0, 3
39, 53, 3, 3, 2, 1
40, 20, 1, 1, 0, 1
41, 39, 4, 2, 0, 3
42, 40, 1, 1, 0, 1
43, 17, 4, 3, 0, 2
44, 44, 3, 2, 1, 1
45, 4, 1, 1, 1, 1
46, 45, 1, 2, 2, 1
47, 54, 2, 2, 1, 1
48, 41, 3, 2, 0, 3
49, 66, 1, 2, 0, 3
50, 68, 1, 3, 2, 2
51, 19, 3, 3, 2, 3
52, 67, 1, 1, 0, 3
53, 46, 4, 1, 2, 3
54, 3, 1, 1, 1, 2
55, 9, 2, 3, 2, 3
56, 65, 3, 3, 0, 2
57, 63, 4, 3, 1, 2
58, 30, 4, 3, 0, 2
59, 37, 3, 1, 2, 1
60, 59, 2, 2, 1, 3
61, 47, 2, 2, 1, 2
62, 48, 1, 1, 2, 3
63, 49, 4, 2, 2, 3
64, 14, 3, 2, 2, 3
65, 15, 3, 3, 0, 3
66, 18, 1, 2, 2, 3
67, 55, 4, 3, 0, 1
68, 21, 2, 3, 0, 3
69, 61, 1, 3, 2, 2
70, 13, 3, 3, 1, 3
End
