Question number, Melody number, Instrument, Correct answer, User answer 
0, 48, 4, 1, 0, 2
0, 48, 4, 1, 1, 1
1, 18, 3, 1, 1, 1
2, 42, 4, 2, 1, 2
3, 14, 3, 2, 0, 3
4, 23, 1, 2, 0, 3
5, 20, 4, 3, 2, 2
6, 54, 1, 1, 2, 1
7, 43, 1, 1, 0, 3
8, 31, 4, 1, 0, 1
9, 50, 3, 2, 2, 3
10, 22, 3, 3, 2, 1
11, 64, 4, 1, 0, 2
12, 45, 1, 2, 0, 1
13, 65, 3, 3, 2, 1
14, 68, 1, 1, 0, 3
15, 33, 2, 3, 1, 3
16, 3, 2, 2, 2, 2
17, 34, 2, 3, 0, 2
18, 8, 2, 3, 2, 3
19, 67, 3, 2, 1, 2
20, 28, 2, 1, 0, 3
21, 41, 2, 2, 1, 3
22, 27, 1, 1, 2, 2
23, 49, 1, 3, 1, 2
24, 59, 3, 1, 0, 1
25, 61, 4, 3, 0, 3
26, 60, 2, 1, 1, 3
27, 9, 3, 2, 0, 2
28, 53, 3, 3, 2, 3
29, 19, 2, 2, 0, 3
30, 4, 3, 2, 1, 3
31, 12, 2, 3, 1, 3
32, 70, 2, 2, 1, 3
33, 66, 3, 1, 0, 3
34, 10, 2, 2, 0, 1
35, 1, 1, 1, 1, 2
36, 32, 2, 1, 2, 3
37, 36, 1, 1, 0, 3
38, 44, 1, 3, 0, 2
39, 47, 3, 3, 2, 1
40, 62, 4, 3, 1, 1
41, 24, 2, 3, 0, 3
42, 46, 3, 2, 2, 3
43, 38, 4, 1, 2, 2
44, 25, 2, 3, 2, 3
45, 6, 3, 2, 0, 2
46, 56, 4, 1, 1, 2
47, 63, 1, 1, 1, 3
48, 16, 4, 1, 2, 3
49, 55, 4, 1, 2, 1
50, 30, 3, 1, 1, 3
51, 2, 1, 3, 0, 3
52, 39, 1, 2, 2, 2
53, 0, 4, 3, 2, 2
54, 11, 1, 2, 1, 2
55, 35, 2, 3, 2, 2
56, 71, 3, 3, 0, 1
57, 69, 4, 3, 0, 1
58, 52, 1, 3, 2, 3
59, 51, 3, 2, 0, 3
60, 5, 4, 2, 0, 3
61, 7, 4, 2, 1, 2
62, 13, 4, 2, 1, 2
63, 40, 2, 1, 1, 3
64, 15, 4, 3, 1, 1
65, 21, 1, 1, 2, 1
66, 58, 1, 2, 1, 3
67, 37, 2, 2, 1, 3
68, 57, 4, 3, 0, 2
69, 26, 3, 1, 1, 3
70, 17, 1, 3, 1, 3
End
