Question number, Melody number, Instrument, Correct answer, User answer 
0, 19, 2, 1, 2, 2
0, 19, 2, 1, 0, 1
1, 52, 2, 3, 1, 3
2, 35, 3, 2, 1, 3
3, 69, 2, 3, 2, 3
4, 39, 2, 3, 0, 3
5, 8, 1, 1, 0, 3
6, 31, 4, 1, 0, 2
7, 27, 3, 2, 0, 3
8, 34, 1, 3, 2, 1
9, 45, 4, 2, 2, 1
10, 30, 2, 2, 0, 1
11, 23, 3, 3, 1, 1
12, 9, 4, 3, 1, 2
13, 38, 3, 2, 2, 1
14, 64, 1, 2, 1, 2
15, 40, 1, 3, 0, 3
16, 68, 2, 1, 1, 2
17, 1, 4, 1, 1, 3
18, 33, 2, 2, 2, 1
19, 53, 1, 1, 0, 1
20, 3, 3, 2, 0, 2
21, 2, 1, 2, 0, 3
22, 41, 2, 1, 0, 1
23, 12, 3, 2, 2, 3
24, 11, 3, 1, 1, 3
25, 48, 4, 3, 0, 1
26, 15, 1, 2, 2, 3
27, 54, 1, 3, 0, 2
28, 56, 1, 1, 2, 1
29, 62, 4, 2, 1, 1
30, 14, 2, 1, 2, 1
31, 32, 4, 3, 0, 3
32, 24, 3, 1, 2, 2
33, 65, 4, 1, 2, 2
34, 43, 2, 1, 2, 2
35, 17, 4, 2, 2, 3
36, 26, 2, 3, 0, 3
37, 25, 4, 3, 2, 3
38, 6, 2, 2, 2, 2
39, 4, 3, 1, 2, 2
40, 63, 3, 1, 0, 3
41, 49, 1, 3, 2, 1
42, 29, 2, 2, 1, 3
43, 59, 3, 1, 1, 2
44, 58, 1, 3, 1, 3
45, 13, 3, 3, 1, 2
46, 70, 4, 1, 1, 3
47, 71, 2, 2, 1, 3
48, 21, 3, 2, 2, 2
49, 5, 4, 2, 0, 3
50, 22, 3, 1, 2, 2
51, 47, 4, 1, 1, 1
52, 46, 4, 3, 2, 2
53, 42, 1, 3, 2, 3
54, 37, 4, 3, 1, 2
55, 57, 2, 3, 2, 3
56, 7, 3, 2, 2, 3
57, 28, 1, 2, 1, 3
58, 51, 1, 3, 2, 3
59, 67, 3, 2, 1, 2
60, 20, 3, 3, 2, 2
61, 0, 4, 1, 2, 3
62, 66, 2, 3, 0, 3
63, 18, 4, 1, 2, 3
64, 60, 2, 1, 1, 2
65, 16, 1, 1, 2, 2
66, 44, 1, 2, 0, 1
67, 61, 1, 3, 2, 3
68, 10, 3, 3, 0, 3
69, 50, 4, 2, 1, 2
70, 36, 2, 1, 2, 3
End
