Question number, Melody number, Instrument, Correct answer, User answer 
0, 20, 2, 1, 1, 2
0, 20, 2, 1, 0, 2
1, 31, 2, 2, 2, 3
2, 12, 4, 1, 1, 1
3, 42, 1, 3, 0, 1
4, 50, 4, 2, 0, 2
5, 26, 4, 2, 0, 2
6, 13, 3, 1, 1, 2
7, 39, 3, 3, 1, 2
8, 54, 1, 3, 2, 3
9, 25, 4, 2, 2, 3
10, 5, 4, 2, 1, 2
11, 6, 4, 1, 0, 1
12, 21, 1, 2, 0, 2
13, 40, 3, 3, 1, 3
14, 22, 1, 2, 1, 2
15, 7, 2, 3, 0, 1
16, 8, 3, 1, 1, 1
17, 48, 2, 1, 1, 2
18, 58, 1, 2, 2, 3
19, 10, 1, 1, 0, 2
20, 34, 1, 2, 0, 1
21, 2, 2, 1, 2, 3
22, 64, 3, 2, 0, 1
23, 55, 4, 2, 1, 1
24, 27, 3, 3, 2, 1
25, 49, 4, 3, 0, 2
26, 38, 2, 3, 1, 3
27, 67, 3, 1, 0, 1
28, 65, 1, 3, 0, 1
29, 63, 4, 2, 2, 2
30, 35, 3, 1, 0, 1
31, 11, 2, 3, 0, 3
32, 0, 1, 2, 1, 2
33, 46, 4, 3, 1, 2
34, 19, 3, 3, 2, 3
35, 57, 3, 1, 0, 3
36, 59, 2, 1, 0, 3
37, 41, 1, 2, 1, 2
38, 60, 1, 1, 2, 3
39, 68, 1, 1, 2, 1
40, 61, 4, 3, 0, 3
41, 36, 1, 2, 1, 1
42, 33, 3, 1, 0, 1
43, 28, 1, 3, 2, 3
44, 4, 3, 3, 0, 1
45, 23, 4, 2, 2, 2
46, 52, 2, 3, 0, 3
47, 16, 4, 3, 1, 2
48, 71, 3, 1, 1, 1
49, 66, 4, 3, 0, 2
50, 44, 2, 2, 1, 1
51, 43, 2, 3, 1, 3
52, 3, 2, 3, 1, 2
53, 17, 1, 2, 2, 2
54, 30, 1, 2, 2, 2
55, 45, 2, 3, 0, 3
56, 18, 4, 1, 1, 2
57, 47, 2, 1, 2, 3
58, 32, 3, 3, 1, 2
59, 70, 4, 2, 2, 2
60, 51, 2, 3, 0, 1
61, 1, 3, 1, 0, 1
62, 62, 3, 1, 0, 2
63, 14, 1, 1, 2, 1
64, 69, 4, 1, 2, 3
65, 15, 2, 2, 2, 1
66, 9, 4, 2, 0, 2
67, 24, 3, 1, 0, 3
68, 53, 3, 1, 2, 3
69, 56, 1, 2, 0, 1
70, 29, 2, 2, 2, 3
End
