Question number, Melody number, Instrument, Correct answer, User answer 
0, 59, 2, 2, 1, 1
0, 59, 2, 2, 1, 2
1, 62, 3, 2, 2, 2
2, 36, 2, 1, 1, 1
3, 26, 4, 1, 2, 2
4, 22, 1, 3, 0, 1
5, 65, 4, 3, 0, 3
6, 71, 1, 1, 2, 3
7, 45, 1, 1, 0, 2
8, 9, 1, 2, 0, 2
9, 27, 2, 1, 1, 3
10, 61, 4, 2, 1, 3
11, 35, 2, 2, 0, 3
12, 12, 3, 3, 1, 2
13, 49, 1, 1, 1, 3
14, 11, 3, 3, 0, 1
15, 7, 3, 3, 0, 3
16, 8, 2, 1, 1, 3
17, 53, 1, 2, 2, 1
18, 2, 3, 2, 1, 2
19, 3, 3, 2, 1, 3
20, 40, 2, 3, 2, 2
21, 70, 1, 2, 2, 1
22, 47, 3, 3, 0, 1
23, 21, 4, 2, 1, 1
24, 23, 3, 1, 2, 3
25, 56, 4, 2, 2, 2
26, 10, 4, 1, 2, 1
27, 30, 1, 1, 0, 1
28, 34, 3, 3, 2, 1
29, 33, 4, 3, 2, 3
30, 29, 2, 2, 1, 2
31, 13, 2, 3, 1, 2
32, 60, 3, 1, 0, 1
33, 42, 1, 3, 1, 1
34, 58, 3, 1, 1, 1
35, 28, 1, 3, 1, 1
36, 54, 1, 3, 2, 1
37, 43, 4, 2, 1, 3
38, 39, 4, 1, 2, 3
39, 16, 2, 1, 1, 3
40, 57, 2, 1, 0, 3
41, 6, 2, 1, 1, 3
42, 50, 3, 1, 2, 3
43, 17, 2, 2, 2, 1
44, 68, 2, 3, 1, 1
45, 18, 3, 2, 0, 3
46, 41, 3, 2, 0, 3
47, 24, 3, 1, 2, 3
48, 44, 4, 2, 2, 2
49, 46, 2, 3, 1, 2
50, 32, 4, 1, 2, 2
51, 67, 1, 3, 0, 3
52, 25, 1, 2, 1, 3
53, 38, 4, 2, 2, 3
54, 20, 1, 2, 2, 3
55, 69, 2, 1, 2, 3
56, 1, 4, 3, 0, 3
57, 64, 4, 1, 0, 3
58, 51, 2, 2, 2, 3
59, 63, 4, 3, 1, 2
60, 52, 2, 2, 1, 2
61, 48, 4, 3, 1, 1
62, 55, 1, 3, 1, 1
63, 5, 1, 2, 0, 1
64, 15, 4, 1, 0, 1
65, 19, 1, 1, 2, 2
66, 4, 3, 3, 1, 2
67, 0, 1, 3, 0, 2
68, 14, 2, 3, 2, 2
69, 66, 4, 2, 0, 2
70, 31, 3, 3, 0, 2
End
