Question number, Melody number, Instrument, Correct answer, User answer 
0, 33, 3, 1, 1, 3
0, 33, 3, 1, 2, 1
1, 0, 3, 3, 2, 2
2, 31, 2, 3, 2, 3
3, 26, 4, 1, 2, 2
4, 53, 4, 1, 2, 3
5, 3, 1, 3, 0, 2
6, 66, 3, 1, 2, 3
7, 46, 3, 1, 0, 2
8, 58, 2, 3, 1, 2
9, 67, 4, 3, 0, 1
10, 42, 4, 1, 0, 2
11, 36, 1, 3, 2, 2
12, 2, 4, 3, 0, 3
13, 13, 3, 2, 0, 1
14, 7, 2, 2, 2, 2
15, 45, 3, 1, 0, 3
16, 69, 2, 2, 2, 3
17, 56, 1, 2, 0, 3
18, 43, 4, 3, 2, 2
19, 11, 2, 3, 2, 3
20, 23, 2, 3, 2, 3
21, 14, 2, 2, 0, 3
22, 50, 1, 3, 1, 3
23, 25, 3, 2, 1, 1
24, 6, 3, 1, 0, 3
25, 54, 4, 2, 2, 2
26, 71, 1, 2, 2, 3
27, 44, 2, 2, 1, 1
28, 64, 1, 1, 2, 2
29, 12, 2, 1, 2, 1
30, 55, 1, 1, 1, 3
31, 51, 1, 3, 2, 3
32, 20, 3, 2, 0, 2
33, 27, 3, 1, 2, 3
34, 70, 4, 2, 0, 1
35, 34, 4, 3, 0, 2
36, 68, 1, 3, 0, 1
37, 57, 3, 1, 2, 2
38, 24, 1, 2, 1, 2
39, 35, 2, 2, 0, 1
40, 60, 1, 3, 0, 3
41, 10, 3, 1, 0, 2
42, 5, 2, 1, 1, 3
43, 62, 2, 3, 0, 3
44, 41, 1, 1, 2, 2
45, 19, 4, 1, 2, 2
46, 18, 4, 3, 1, 1
47, 9, 2, 3, 2, 1
48, 30, 2, 2, 2, 3
49, 1, 4, 3, 2, 3
50, 28, 4, 2, 2, 3
51, 21, 1, 2, 2, 3
52, 37, 1, 3, 1, 3
53, 29, 4, 1, 1, 3
54, 61, 1, 2, 1, 3
55, 48, 2, 1, 2, 3
56, 8, 2, 3, 1, 3
57, 39, 1, 2, 0, 3
58, 15, 3, 2, 2, 3
59, 38, 3, 2, 0, 3
60, 47, 3, 3, 0, 1
61, 32, 3, 2, 1, 2
62, 17, 4, 1, 1, 2
63, 65, 1, 3, 1, 2
64, 40, 4, 1, 1, 2
65, 59, 4, 2, 1, 1
66, 52, 2, 1, 2, 2
67, 16, 3, 2, 2, 1
68, 22, 1, 2, 1, 3
69, 63, 2, 3, 2, 3
70, 49, 3, 1, 0, 3
End
