Question number, Melody number, Instrument, Correct answer, User answer 
0, 25, 1, 2, 1, 3
0, 25, 1, 2, 1, 1
1, 16, 2, 3, 1, 3
2, 26, 1, 3, 1, 2
3, 71, 4, 1, 1, 2
4, 32, 1, 1, 0, 1
5, 58, 3, 1, 2, 1
6, 63, 3, 3, 0, 2
7, 42, 2, 2, 1, 3
8, 48, 2, 2, 0, 1
9, 12, 3, 3, 0, 2
10, 70, 1, 1, 1, 2
11, 31, 3, 3, 1, 3
12, 67, 4, 2, 2, 3
13, 50, 1, 2, 1, 2
14, 2, 4, 1, 1, 2
15, 69, 2, 2, 1, 1
16, 55, 4, 2, 2, 3
17, 46, 4, 3, 1, 2
18, 64, 3, 1, 2, 3
19, 68, 4, 2, 2, 1
20, 59, 4, 3, 0, 2
21, 65, 2, 1, 0, 3
22, 21, 3, 3, 2, 1
23, 19, 4, 3, 2, 3
24, 20, 4, 1, 0, 3
25, 3, 2, 1, 2, 2
26, 60, 3, 2, 0, 1
27, 13, 3, 2, 1, 2
28, 53, 1, 2, 1, 3
29, 49, 2, 3, 0, 2
30, 36, 4, 1, 0, 1
31, 34, 1, 2, 1, 1
32, 29, 2, 3, 1, 2
33, 18, 1, 1, 0, 1
34, 51, 3, 3, 1, 2
35, 30, 4, 3, 0, 2
36, 15, 2, 1, 2, 3
37, 6, 1, 2, 2, 1
38, 22, 4, 2, 1, 1
39, 41, 2, 1, 0, 1
40, 4, 3, 1, 1, 1
41, 8, 4, 2, 1, 2
42, 5, 4, 2, 1, 2
43, 47, 2, 3, 1, 1
44, 37, 1, 3, 0, 1
45, 38, 1, 3, 0, 1
46, 44, 3, 2, 0, 2
47, 0, 1, 1, 2, 3
48, 33, 3, 2, 0, 1
49, 17, 1, 1, 2, 2
50, 43, 4, 3, 2, 2
51, 39, 3, 3, 1, 1
52, 57, 2, 3, 1, 3
53, 35, 2, 3, 1, 1
54, 23, 1, 1, 2, 3
55, 61, 1, 2, 1, 1
56, 27, 1, 1, 1, 1
57, 56, 2, 1, 1, 2
58, 1, 2, 2, 0, 1
59, 54, 3, 2, 2, 1
60, 11, 3, 2, 0, 3
61, 40, 4, 2, 1, 1
62, 24, 2, 3, 2, 1
63, 7, 3, 3, 1, 3
64, 45, 2, 1, 1, 2
65, 10, 4, 2, 2, 1
66, 14, 1, 3, 0, 3
67, 62, 1, 3, 1, 1
68, 28, 3, 1, 1, 1
69, 66, 2, 1, 0, 1
70, 9, 3, 1, 0, 2
End
