Question number, Melody number, Instrument, Correct answer, User answer 
0, 30, 3, 1, 0, 1
0, 30, 3, 1, 0, 2
1, 33, 1, 1, 0, 1
2, 69, 1, 1, 1, 3
3, 38, 4, 3, 2, 3
4, 19, 1, 2, 0, 1
5, 20, 3, 3, 0, 1
6, 48, 2, 3, 0, 1
7, 53, 1, 2, 1, 2
8, 54, 4, 3, 2, 3
9, 4, 1, 2, 0, 3
10, 44, 4, 2, 2, 1
11, 62, 4, 1, 0, 2
12, 71, 3, 1, 0, 3
13, 23, 1, 1, 1, 1
14, 46, 2, 3, 1, 2
15, 42, 3, 2, 0, 2
16, 47, 3, 3, 0, 1
17, 28, 2, 3, 0, 1
18, 10, 3, 3, 1, 3
19, 56, 3, 2, 0, 1
20, 17, 4, 2, 2, 2
21, 18, 3, 1, 1, 2
22, 34, 4, 3, 0, 2
23, 27, 2, 1, 1, 2
24, 68, 2, 1, 1, 2
25, 41, 4, 3, 2, 1
26, 64, 4, 1, 2, 2
27, 39, 2, 2, 0, 2
28, 24, 4, 2, 1, 2
29, 60, 3, 2, 0, 1
30, 7, 2, 3, 0, 3
31, 8, 3, 2, 2, 1
32, 61, 3, 3, 0, 1
33, 58, 2, 3, 1, 3
34, 40, 2, 2, 1, 1
35, 0, 1, 2, 0, 1
36, 6, 4, 1, 0, 3
37, 12, 1, 2, 1, 3
38, 14, 3, 1, 0, 2
39, 29, 4, 1, 2, 2
40, 9, 1, 3, 1, 1
41, 67, 3, 1, 2, 3
42, 32, 1, 1, 2, 1
43, 16, 1, 1, 0, 1
44, 43, 1, 3, 2, 3
45, 45, 4, 3, 0, 1
46, 1, 1, 3, 2, 1
47, 13, 3, 1, 0, 3
48, 5, 2, 1, 0, 3
49, 35, 2, 3, 2, 3
50, 21, 2, 2, 0, 2
51, 49, 3, 1, 2, 3
52, 51, 1, 2, 2, 3
53, 70, 2, 2, 1, 2
54, 11, 2, 1, 2, 1
55, 2, 4, 3, 0, 1
56, 31, 1, 3, 1, 3
57, 52, 3, 2, 0, 1
58, 3, 2, 3, 0, 1
59, 66, 1, 2, 1, 1
60, 59, 3, 1, 1, 1
61, 65, 3, 1, 1, 3
62, 15, 2, 1, 1, 1
63, 22, 4, 3, 1, 2
64, 50, 4, 2, 0, 1
65, 26, 2, 2, 0, 2
66, 25, 2, 1, 1, 2
67, 37, 4, 2, 0, 1
68, 57, 1, 3, 2, 2
69, 36, 4, 2, 2, 1
70, 55, 4, 3, 1, 2
End
