Question number, Melody number, Instrument, Correct answer, User answer 
0, 60, 2, 2, 2, 1
0, 60, 2, 2, 0, 2
1, 12, 4, 3, 1, 2
2, 56, 3, 3, 2, 1
3, 38, 1, 1, 1, 1
4, 50, 3, 2, 2, 3
5, 24, 1, 1, 0, 2
6, 48, 2, 1, 2, 3
7, 30, 1, 3, 1, 1
8, 26, 4, 2, 0, 1
9, 21, 2, 1, 0, 1
10, 4, 3, 1, 2, 2
11, 58, 3, 1, 2, 3
12, 53, 4, 3, 2, 2
13, 69, 1, 2, 1, 3
14, 34, 4, 3, 1, 3
15, 39, 3, 1, 2, 2
16, 37, 4, 3, 1, 3
17, 44, 1, 2, 2, 2
18, 35, 4, 3, 0, 1
19, 18, 2, 1, 1, 1
20, 0, 2, 2, 1, 1
21, 23, 4, 1, 1, 2
22, 33, 3, 2, 1, 1
23, 59, 2, 3, 2, 1
24, 47, 3, 3, 2, 2
25, 3, 3, 1, 0, 3
26, 49, 1, 1, 2, 1
27, 65, 1, 3, 2, 3
28, 62, 3, 1, 0, 1
29, 51, 1, 3, 2, 3
30, 7, 1, 1, 2, 1
31, 19, 2, 3, 0, 3
32, 29, 4, 3, 2, 2
33, 70, 1, 3, 0, 2
34, 63, 3, 2, 2, 3
35, 2, 2, 1, 2, 3
36, 20, 2, 2, 0, 3
37, 43, 1, 1, 0, 1
38, 25, 3, 3, 0, 2
39, 54, 2, 3, 0, 3
40, 42, 3, 1, 1, 3
41, 66, 2, 1, 0, 1
42, 22, 3, 2, 2, 3
43, 55, 1, 1, 0, 1
44, 71, 1, 2, 1, 1
45, 15, 2, 2, 1, 2
46, 57, 2, 1, 1, 1
47, 5, 4, 2, 1, 1
48, 52, 4, 3, 1, 3
49, 32, 4, 1, 0, 1
50, 46, 4, 3, 2, 2
51, 17, 1, 1, 1, 3
52, 6, 1, 2, 0, 2
53, 8, 4, 2, 2, 2
54, 16, 2, 2, 1, 1
55, 64, 1, 3, 1, 2
56, 61, 4, 2, 0, 2
57, 1, 3, 2, 1, 1
58, 10, 4, 2, 2, 2
59, 27, 3, 2, 2, 2
60, 36, 4, 2, 1, 1
61, 41, 1, 2, 1, 1
62, 14, 1, 2, 2, 1
63, 31, 2, 3, 0, 3
64, 11, 2, 2, 1, 3
65, 9, 4, 1, 0, 1
66, 67, 3, 3, 0, 2
67, 45, 4, 3, 1, 1
68, 13, 2, 1, 1, 1
69, 28, 3, 3, 2, 2
70, 40, 3, 3, 1, 3
End
