Question number, Melody number, Instrument, Correct answer, User answer 
0, 6, 3, 1, 0, 1
0, 6, 3, 1, 2, 2
1, 19, 3, 2, 2, 3
2, 68, 3, 3, 0, 1
3, 28, 2, 3, 0, 2
4, 38, 3, 3, 2, 2
5, 57, 4, 1, 2, 2
6, 4, 3, 1, 1, 3
7, 30, 1, 2, 2, 1
8, 20, 1, 1, 2, 2
9, 52, 4, 2, 0, 3
10, 65, 4, 2, 1, 2
11, 64, 4, 1, 0, 2
12, 45, 3, 2, 2, 2
13, 47, 3, 1, 0, 2
14, 40, 3, 2, 1, 3
15, 63, 4, 3, 0, 1
16, 46, 3, 1, 0, 2
17, 21, 4, 2, 0, 2
18, 12, 1, 2, 0, 2
19, 17, 4, 3, 1, 2
20, 59, 4, 3, 2, 2
21, 1, 2, 3, 1, 1
22, 43, 3, 1, 0, 3
23, 34, 2, 1, 0, 3
24, 3, 2, 1, 0, 1
25, 62, 3, 1, 2, 3
26, 7, 2, 2, 2, 3
27, 60, 1, 2, 1, 2
28, 14, 2, 3, 2, 2
29, 66, 2, 2, 1, 3
30, 58, 1, 2, 2, 2
31, 36, 4, 2, 1, 2
32, 22, 1, 1, 0, 2
33, 29, 2, 3, 2, 2
34, 31, 2, 2, 0, 2
35, 35, 2, 1, 2, 3
36, 51, 1, 3, 0, 3
37, 49, 2, 2, 1, 3
38, 11, 1, 1, 0, 3
39, 67, 3, 1, 0, 3
40, 2, 4, 2, 2, 3
41, 50, 1, 3, 1, 3
42, 37, 1, 3, 2, 1
43, 23, 4, 1, 2, 1
44, 61, 1, 1, 2, 2
45, 25, 4, 1, 0, 3
46, 10, 4, 3, 2, 2
47, 24, 4, 1, 0, 3
48, 13, 3, 2, 0, 3
49, 54, 3, 2, 2, 3
50, 55, 1, 3, 1, 2
51, 5, 2, 3, 2, 3
52, 48, 4, 2, 0, 2
53, 42, 3, 2, 0, 3
54, 9, 1, 3, 0, 1
55, 8, 4, 3, 0, 1
56, 56, 1, 2, 2, 3
57, 26, 3, 3, 0, 2
58, 53, 3, 3, 1, 3
59, 27, 3, 3, 2, 1
60, 16, 2, 3, 1, 2
61, 70, 2, 2, 0, 2
62, 33, 4, 3, 1, 1
63, 15, 2, 1, 0, 1
64, 0, 2, 1, 0, 3
65, 69, 1, 2, 0, 3
66, 41, 1, 3, 1, 1
67, 44, 1, 1, 1, 1
68, 32, 1, 1, 1, 1
69, 71, 2, 1, 2, 2
70, 18, 2, 2, 1, 3
End
