Question number, Melody number, Instrument, Correct answer, User answer 
0, 31, 2, 3, 1, 1
0, 31, 2, 3, 2, 3
1, 25, 3, 2, 0, 1
2, 17, 1, 3, 1, 2
3, 20, 1, 3, 1, 1
4, 6, 3, 2, 0, 3
5, 42, 2, 2, 1, 3
6, 70, 2, 2, 2, 1
7, 16, 3, 3, 0, 3
8, 9, 3, 2, 2, 3
9, 14, 1, 1, 1, 1
10, 61, 3, 1, 1, 3
11, 23, 2, 3, 0, 3
12, 22, 2, 1, 2, 3
13, 12, 4, 2, 2, 1
14, 45, 3, 3, 0, 2
15, 43, 2, 3, 1, 1
16, 49, 3, 2, 1, 3
17, 46, 4, 1, 2, 2
18, 29, 2, 1, 2, 1
19, 15, 3, 1, 0, 1
20, 24, 1, 3, 1, 2
21, 67, 2, 1, 2, 1
22, 33, 4, 2, 2, 2
23, 35, 1, 1, 0, 3
24, 28, 3, 2, 2, 1
25, 18, 2, 1, 2, 3
26, 60, 3, 2, 2, 1
27, 59, 2, 2, 1, 2
28, 47, 3, 3, 2, 3
29, 10, 4, 3, 1, 2
30, 51, 2, 1, 1, 1
31, 69, 4, 3, 1, 3
32, 32, 1, 3, 2, 1
33, 53, 4, 2, 2, 2
34, 71, 4, 1, 2, 3
35, 44, 2, 1, 0, 1
36, 5, 4, 1, 1, 2
37, 8, 2, 2, 2, 3
38, 1, 2, 1, 1, 1
39, 21, 4, 3, 2, 2
40, 41, 2, 2, 1, 3
41, 2, 1, 2, 2, 2
42, 13, 1, 2, 1, 1
43, 11, 1, 2, 1, 2
44, 7, 1, 1, 1, 3
45, 54, 3, 2, 2, 3
46, 40, 2, 1, 1, 2
47, 0, 2, 2, 1, 1
48, 19, 3, 3, 2, 3
49, 3, 1, 2, 0, 3
50, 66, 4, 3, 0, 3
51, 26, 1, 3, 1, 2
52, 63, 1, 1, 0, 2
53, 34, 1, 3, 2, 1
54, 50, 3, 3, 1, 3
55, 58, 3, 1, 2, 3
56, 30, 4, 2, 0, 2
57, 48, 1, 1, 2, 1
58, 55, 4, 3, 0, 2
59, 39, 4, 3, 0, 3
60, 36, 3, 1, 2, 2
61, 27, 4, 2, 1, 1
62, 65, 4, 1, 2, 1
63, 68, 3, 2, 0, 1
64, 52, 4, 1, 0, 3
65, 62, 1, 3, 1, 2
66, 64, 2, 3, 0, 1
67, 57, 4, 1, 0, 2
68, 38, 1, 3, 0, 1
69, 37, 1, 1, 2, 1
70, 56, 4, 2, 1, 1
End
