Question number, Melody number, Instrument, Correct answer, User answer 
0, 60, 4, 3, 0, 1
0, 60, 4, 3, 2, 2
1, 1, 3, 2, 0, 1
2, 51, 1, 2, 1, 1
3, 19, 3, 2, 1, 1
4, 58, 2, 1, 2, 2
5, 16, 3, 2, 0, 3
6, 66, 2, 2, 2, 2
7, 43, 2, 1, 1, 1
8, 8, 2, 1, 2, 3
9, 46, 4, 1, 0, 2
10, 10, 2, 1, 2, 2
11, 70, 4, 2, 0, 1
12, 18, 1, 1, 1, 1
13, 35, 2, 3, 1, 1
14, 64, 1, 3, 1, 2
15, 48, 1, 2, 2, 3
16, 38, 3, 3, 2, 2
17, 67, 1, 2, 0, 1
18, 65, 3, 2, 1, 2
19, 17, 4, 2, 2, 1
20, 6, 3, 2, 1, 2
21, 49, 3, 1, 0, 3
22, 68, 4, 1, 1, 2
23, 26, 4, 3, 2, 1
24, 23, 3, 3, 2, 2
25, 31, 2, 1, 0, 1
26, 37, 3, 2, 2, 3
27, 7, 4, 3, 1, 1
28, 36, 1, 1, 2, 3
29, 15, 1, 2, 2, 1
30, 4, 1, 3, 0, 1
31, 39, 1, 1, 0, 2
32, 41, 4, 2, 1, 1
33, 28, 4, 2, 2, 3
34, 0, 3, 1, 0, 3
35, 57, 2, 1, 0, 3
36, 13, 4, 3, 2, 2
37, 52, 2, 2, 0, 1
38, 47, 4, 1, 0, 3
39, 20, 4, 2, 2, 1
40, 21, 1, 3, 0, 3
41, 12, 2, 1, 0, 3
42, 69, 2, 1, 0, 2
43, 14, 1, 2, 1, 1
44, 44, 2, 3, 1, 2
45, 62, 3, 3, 1, 1
46, 54, 1, 1, 0, 3
47, 22, 2, 3, 2, 1
48, 53, 4, 1, 0, 2
49, 71, 2, 2, 0, 3
50, 11, 3, 1, 1, 1
51, 24, 1, 3, 1, 2
52, 42, 3, 3, 1, 3
53, 59, 3, 1, 1, 1
54, 45, 3, 1, 2, 3
55, 63, 4, 3, 1, 3
56, 3, 1, 1, 1, 2
57, 61, 4, 3, 1, 1
58, 29, 2, 3, 2, 3
59, 30, 1, 3, 0, 3
60, 55, 1, 1, 2, 3
61, 56, 3, 2, 2, 2
62, 33, 1, 3, 1, 2
63, 50, 2, 3, 2, 1
64, 2, 3, 2, 0, 1
65, 9, 2, 3, 2, 2
66, 27, 4, 2, 2, 2
67, 25, 1, 3, 1, 1
68, 40, 3, 3, 1, 3
69, 34, 2, 2, 0, 1
70, 32, 4, 1, 2, 2
End
