Question number, Melody number, Instrument, Correct answer, User answer 
0, 70, 3, 2, 0, 0
0, 70, 3, 2, 0, 0
1, 61, 4, 2, 0, 0
2, 58, 3, 3, 1, 0
3, 27, 3, 2, 0, 0
4, 22, 1, 2, 1, 0
5, 10, 3, 1, 2, 0
6, 49, 2, 2, 0, 0
7, 18, 3, 3, 1, 0
8, 60, 3, 3, 0, 0
9, 25, 1, 1, 2, 0
10, 51, 4, 3, 1, 0
11, 15, 2, 2, 1, 0
12, 71, 2, 1, 0, 0
13, 62, 1, 2, 2, 0
14, 44, 2, 3, 0, 0
15, 50, 3, 3, 0, 0
16, 19, 2, 3, 1, 0
17, 9, 4, 3, 0, 0
18, 41, 4, 2, 0, 0
19, 47, 3, 2, 1, 0
20, 11, 1, 3, 2, 0
21, 6, 3, 1, 0, 0
22, 29, 3, 1, 0, 0
23, 36, 4, 3, 0, 0
24, 57, 2, 1, 1, 0
25, 65, 4, 3, 1, 0
26, 31, 4, 2, 2, 0
27, 3, 3, 2, 0, 0
28, 35, 1, 3, 2, 0
29, 64, 4, 2, 2, 0
30, 30, 1, 2, 0, 0
31, 46, 1, 3, 0, 0
32, 8, 3, 2, 0, 0
33, 32, 3, 3, 2, 0
34, 48, 4, 3, 1, 0
35, 17, 2, 3, 1, 0
36, 1, 2, 3, 0, 0
37, 39, 4, 3, 1, 0
38, 21, 3, 3, 2, 0
39, 14, 1, 1, 2, 0
40, 54, 4, 2, 2, 0
41, 55, 4, 1, 1, 0
42, 43, 2, 2, 1, 0
43, 16, 2, 2, 0, 0
44, 68, 1, 1, 0, 0
45, 42, 2, 3, 1, 0
46, 52, 3, 1, 1, 0
47, 56, 1, 2, 2, 0
48, 67, 4, 1, 1, 0
49, 40, 3, 3, 0, 0
50, 0, 4, 3, 2, 0
51, 53, 1, 2, 1, 0
52, 5, 4, 1, 2, 0
53, 7, 3, 1, 0, 0
54, 2, 2, 1, 2, 0
55, 45, 2, 1, 1, 0
56, 26, 2, 1, 1, 0
57, 13, 1, 2, 2, 0
58, 38, 1, 2, 1, 0
59, 63, 1, 1, 1, 0
60, 34, 3, 2, 1, 0
61, 4, 2, 1, 2, 0
62, 20, 1, 2, 2, 0
63, 24, 2, 1, 2, 0
64, 37, 4, 1, 1, 0
65, 33, 1, 3, 0, 0
66, 69, 4, 1, 1, 0
67, 23, 4, 3, 2, 0
68, 12, 1, 1, 0, 0
69, 59, 2, 1, 1, 0
70, 28, 1, 2, 0, 0
End
